ID;d_visi;J?su dzimums;Vecums;Vecums;Dzimšanas gads;J?su ?imenes st?voklis;Cik cilv?ku dz?vo J?su m?jsaimniec?b?, ieskaitot J?s;Vai J?su ?imen? ir b?rni vecum? l?dz 18 gadiem (ieskaitot), kuri dz?vo kop? ar Jums?;J?s dz?vojat…;K?da ir J?su izgl?t?ba?;Izgl?t?ba;K?da ir J?su taut?ba?;Taut?ba;K?d? valod? galvenok?rt J?s run?jat ?imen??;Vai Jums ir LR pilson?ba?;K?d? sektor? J?s str?d?jat:;Pamatnodarbošan?s (Zemnieks pie pašnodarbin?t?);Pamatnodarbošan?s;M?neša vid?jie ien?kumi uz vienu ?imenes locekli (kop?jais);M?neša vid?jie ien?kumi uz vienu ?imenes locekli (kvintiles);Re?ions;Re?ions (v?l?š. apg.);Novads;L?dzu, atz?m?jiet, kur? pils?t? vai pagast? J?s dz?vojat. Ja Jums ir vair?kas dz?vesvietas, l?dzu, atz?m?jiet to, kur J?s dz?vojat visbiež?k.;Apdz?vota vieta;K?d? valod? notika intervija?;Intervijas beigu laiks;Intervijas s?kuma laiks;Intervijas datums;Intervijas garums (min);Apdz?vota vieta;Vai ?imen?, kur? J?s uzaug?t, bija k?das ar dzied?šanu saist?tas trad?cijas (š?pu?dziesmas, jubil?ra apsveikšana dziedot, dzied?šana savies?gos m?jas pas?kumos, m?jas ball?t?s, vec?ki dzied?ja kor? u.tml.)?;L?dzu, atz?m?jiet visus apgalvojumus, kuri raksturo J?su dzied?šanas paradumus. - Dziedu kor?;Dungoju ik uz so?a;M?dzu dzied?t l?dzi vai k? dal?bnieks Dziesmu sv?tku koncertos;M?dzu dzied?t l?dzi citos koncertos;M?dzu dzied?t pie J??u ugunskura;Dziedu l?dzi, kad svin?gos br?žos tiek dzied?ta valsts himna;M?dzu dzied?t, apsveicot jubil?ru;Dažk?rt m?dzu dzied?t ball?t?s, savies?gos pas?kumos;M?dzu dzied?t duš?;Dažk?rt dziedu vienatn?, attiec?g? garast?vokl?, kad sp?l? dziesmu, kura man pat?k;M?dzu dzied?t bazn?c?, Dievkalpojumos;M?dzu dzied?t, braucot automaš?n?;M?dzu dzied?t b?rniem/ kop? ar b?rniem;M?dzu dzied?t cit?s situ?cij?s;Nekad nedziedu;Cik labi J?s p?rzin?t latviešu tautasdziesmas?;Kuras tr?s no š?m tautasdziesm?m Jums pat?k vislab?k? - Skaisti dziedi lakst?gala;Tumša nakte, za?a z?le;?vu, ?vu baltas k?jas;R?ga dimd;Kur tu skriesi, vanadzi?(i);Kraukl?t’s s?ž ozol?;P?t, v?ji?i;Neviena;Gr?ti pateikt;Vai J?s piekr?tat apgalvojumam, ka latvieši ir dzied?t?ju tauta?;Vai J?s piekr?tat apgalvojumam, ka m?su dien?s latvieši ir maz?k? m?r? dzied?t?ju tauta, nek? pusi gadsimta atpaka??;Vai, J?supr?t, dzied?tprasme ir apg?stama?;Vai J?s v?l?tos iem?c?ties dzied?t lab?k?;Cik Jums ir svar?gi, lai b?rni Latvij? turpina dzied?šanas trad?cijas?;weight
241;Visi respondenti;V?rietis;39.00;35 - 44;1979;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Dz?vokl? daudzdz?vok?u m?ja;Vid?j?;Vid?j?, vid?j? profesion?l?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Str?dnieks, str?d? fizisku darbu;Str?d?jošie;400.00;Eur 351 - Eur 499;Zemgale;Zemgale;Jelgava;Jelgava;Cita pils?ta;LAT;13.03.2018 21:33;13.03.2018 21:29;13-MAR-2018;12:03:51 priekšp.;Liel?s pils?tas;N?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Dziesmas atpaz?stu, bet pats nodzied?t nem?c?tu;0;0;1;0;0;0;0;0;0;Piln?b? piekr?tu;Piln?b? piekr?tu;N?, viss atkar?gs no iedzimt?m sp?j?m;N?;Tas dr?z?k nav svar?gi;0.973824732
242;Visi respondenti;Sieviete;38.00;35 - 44;1980;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;350.00;Eur 251 - Eur 350;Vidzeme;Vidzeme;Gulbenes novads;Gulbenes pils?ta;Cita pils?ta;LAT;13.03.2018 21:37;13.03.2018 21:30;13-MAR-2018;12:06:59 priekšp.;Cita pils?ta;J?;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;Dziesmas atpaz?stu, bet pats nodzied?t nem?c?tu;1;1;0;0;0;0;1;0;0;Piln?b? piekr?tu;Dr?z?k nepiekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir dr?z?k svar?gi;1.015957667
244;Visi respondenti;Sieviete;37.00;35 - 44;1981;Prec?jies (-usies) vai dz?vo ar partneri;6;J?;Savrupm?ja, priv?tm?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;200.00;Eur 0 - Eur 250;Pier?ga;Vidzeme;Ogres novads;Ogres pils?ta;Cita pils?ta;LAT;13.03.2018 21:59;13.03.2018 21:31;13-MAR-2018;12:27:59 priekšp.;Cita pils?ta;J?;0;0;0;0;1;1;1;0;0;1;1;0;1;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;1;1;0;0;0;0;1;0;0;Dr?z?k piekr?tu;Gr?ti pateikt;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir dr?z?k svar?gi;0.887814433
246;Visi respondenti;V?rietis;35.00;35 - 44;1983;Neprec?jies (-usies);2;N?;Dz?vokl? daudzdz?vok?u m?ja;Vid?j?;Vid?j?, vid?j? profesion?l?;Krievs (-iete);Cits (-ta);Krievu;J?;Publiskaj? sektor? (valsts, pašvald?bas);Str?dnieks, str?d? fizisku darbu;Str?d?jošie;400.00;Eur 351 - Eur 499;R?ga;R?ga;R?ga;R?ga;R?ga;RUS;13.03.2018 21:39;13.03.2018 21:33;13-MAR-2018;12:06:10 priekšp.;R?ga;N?;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Nemaz neorient?jos šaj? žanr?;0;0;0;0;0;0;0;1;0;Piln?ba nepiekr?tu;Piln?b? piekr?tu;N?, viss atkar?gs no iedzimt?m sp?j?m;N?;Tas nemaz nav svar?gi;0.992818504
247;Visi respondenti;V?rietis;75.00;64 - 75;1943;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;320.00;Eur 251 - Eur 350;Pier?ga;Vidzeme;J?rmala;J?rmala;Cita pils?ta;LAT;13.03.2018 21:47;13.03.2018 21:33;13-MAR-2018;12:14:25 priekšp.;Liel?s pils?tas;J?;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;0;0;0;1;1;1;0;0;Piln?b? piekr?tu;Piln?b? piekr?tu;N?, viss atkar?gs no iedzimt?m sp?j?m;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;0.914836119
248;Visi respondenti;Sieviete;33.00;25 - 34;1985;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Dz?vokl? daudzdz?vok?u m?ja;Vid?j?;Vid?j?, vid?j? profesion?l?;Krievs (-iete);Cits (-ta);Krievu;N?;Nestr?d?;M?jsaimniece (-ks), b?rna kopšanas atva?in?jums;Nestr?d?jošie;350.00;Eur 251 - Eur 350;R?ga;R?ga;R?ga;R?ga;R?ga;RUS;13.03.2018 21:48;13.03.2018 21:33;13-MAR-2018;12:14:28 priekšp.;R?ga;N?;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;Nemaz neorient?jos šaj? žanr?;0;0;0;0;0;0;0;1;0;Dr?z?k piekr?tu;Dr?z?k nepiekr?tu;J?;N?;Tas nemaz nav svar?gi;1.200429692
251;Visi respondenti;V?rietis;75.00;64 - 75;1943;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Savrupm?ja, priv?tm?ja;Vid?j?;Vid?j?, vid?j? profesion?l?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;500.00;Eur 500 - Eur 699;Pier?ga;Vidzeme;J?rmala;J?rmala;Cita pils?ta;LAT;13.03.2018 21:47;13.03.2018 21:34;13-MAR-2018;12:13:08 priekšp.;Liel?s pils?tas;J?;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;?oti labi p?rzinu;1;0;0;0;1;1;0;0;0;Piln?b? piekr?tu;Piln?b? piekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;0.914836119
253;Visi respondenti;V?rietis;45.00;45 - 54;1973;Prec?jies (-usies) vai dz?vo ar partneri;6;J?;Dz?vokl? daudzdz?vok?u m?ja;Profesion?l? vid?j?/ vid?j? speci?l?;Vid?j?, vid?j? profesion?l?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Publiskaj? sektor? (valsts, pašvald?bas);Str?dnieks, str?d? fizisku darbu;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;13.03.2018 21:40;13.03.2018 21:35;13-MAR-2018;12:05:47 priekšp.;R?ga;Gr?ti pateikt;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;Dziesmas atpaz?stu, bet pats nodzied?t nem?c?tu;1;1;0;0;0;1;0;0;0;Piln?b? piekr?tu;Piln?b? piekr?tu;N?, viss atkar?gs no iedzimt?m sp?j?m;N?;Tas ir dr?z?k svar?gi;0.817683921
254;Visi respondenti;V?rietis;61.00;55 - 63;1957;Prec?jies (-usies) vai dz?vo ar partneri;1;N?;Savrupm?ja, priv?tm?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Ir savs uz??mums, individu?lais darbs;Str?d?jošie;350.00;Eur 251 - Eur 350;Vidzeme;Vidzeme;Smiltenes novads;Brantu pagasts;Lauki;LAT;13.03.2018 21:44;13.03.2018 21:35;13-MAR-2018;12:08:42 priekšp.;Lauku teritorija;J?;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;0;1;0;0;0;1;1;0;0;Piln?b? piekr?tu;Piln?b? piekr?tu;J?;N?;Tas ir dr?z?k svar?gi;1.008365442
257;Visi respondenti;Sieviete;25.00;25 - 34;1993;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Krievs (-iete);Cits (-ta);Krievu;J?;Nestr?d?;Bezdarbnieks;Nestr?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;Kurzeme;Kurzeme;Liep?ja;Liep?ja;Cita pils?ta;RUS;13.03.2018 21:43;13.03.2018 21:35;13-MAR-2018;12:07:12 priekšp.;Liel?s pils?tas;Gr?ti pateikt;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;0;0;0;0;0;0;0;1;Dr?z?k piekr?tu;Dr?z?k piekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas nemaz nav svar?gi;1.13543117
260;Visi respondenti;V?rietis;62.00;55 - 63;1956;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Profesion?l? vid?j?/ vid?j? speci?l?;Vid?j?, vid?j? profesion?l?;V?cietis (-te);Cits (-ta);Krievu;J?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;90.00;Eur 0 - Eur 250;Vidzeme;Vidzeme;Al?ksnes novads;Al?ksnes pils?ta;Cita pils?ta;LAT;13.03.2018 21:44;13.03.2018 21:37;13-MAR-2018;12:06:42 priekšp.;Cita pils?ta;J?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Dziesmas atpaz?stu, bet pats nodzied?t nem?c?tu;0;1;0;0;1;0;0;0;0;Dr?z?k piekr?tu;Gr?ti pateikt;N?, viss atkar?gs no iedzimt?m sp?j?m;Gr?ti pateikt;Tas ir dr?z?k svar?gi;1.184163597
261;Visi respondenti;Sieviete;34.00;25 - 34;1984;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Krievs (-iete);Cits (-ta);Krievu;J?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;850.00;Eur 700 un vair?k;Zemgale;Zemgale;Jelgava;Jelgava;Cita pils?ta;LAT;13.03.2018 21:42;13.03.2018 21:37;13-MAR-2018;12:04:54 priekšp.;Liel?s pils?tas;Gr?ti pateikt;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;0;1;0;1;0;0;1;0;0;Dr?z?k piekr?tu;Piln?b? piekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;1.382742843
262;Visi respondenti;Sieviete;35.00;35 - 44;1983;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Augst?k? vai vid?j? l?me?a vad?t?js;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;13.03.2018 21:47;13.03.2018 21:39;13-MAR-2018;12:08:30 priekšp.;R?ga;J?;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;1;0;0;0;0;1;0;0;Dr?z?k piekr?tu;Dr?z?k nepiekr?tu;Da??ji, bet ne piln?b?;N?;Tas dr?z?k nav svar?gi;0.81232939
265;Visi respondenti;Sieviete;37.00;35 - 44;1981;Neprec?jies (-usies);1;N?;Dz?vokl? daudzdz?vok?u m?ja;Profesion?l? vid?j?/ vid?j? speci?l?;Vid?j?, vid?j? profesion?l?;Krievs (-iete);Cits (-ta);Krievu;J?;Nestr?d?;Bezdarbnieks;Nestr?d?jošie;800.00;Eur 700 un vair?k;Latgale;Latgale;Daugavpils;Daugavpils;Cita pils?ta;RUS;13.03.2018 21:49;13.03.2018 21:40;13-MAR-2018;12:08:44 priekšp.;Liel?s pils?tas;N?;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;0;0;0;0;0;0;1;0;Dr?z?k piekr?tu;Dr?z?k piekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir dr?z?k svar?gi;1.097428349
269;Visi respondenti;Sieviete;28.00;25 - 34;1990;Prec?jies (-usies) vai dz?vo ar partneri;3;J?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Polis (-iete);Cits (-ta);Krievu;J?;Nestr?d?;M?jsaimniece (-ks), b?rna kopšanas atva?in?jums;Nestr?d?jošie;450.00;Eur 351 - Eur 499;Pier?ga;Vidzeme;Salaspils novads;Salaspils pils?ta;Cita pils?ta;RUS;13.03.2018 21:47;13.03.2018 21:41;13-MAR-2018;12:06:08 priekšp.;Cita pils?ta;N?;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Dziesmas atpaz?stu, bet pats nodzied?t nem?c?tu;0;0;0;0;0;0;1;0;0;Dr?z?k piekr?tu;Gr?ti pateikt;J?;N?;Tas ir dr?z?k svar?gi;1.311978639
270;Visi respondenti;V?rietis;22.00;18 - 24;1996;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Dz?vokl? daudzdz?vok?u m?ja;Profesion?l? vid?j?/ vid?j? speci?l?;Vid?j?, vid?j? profesion?l?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Nestr?d?;Bezdarbnieks;Nestr?d?jošie;300.00;Eur 251 - Eur 350;Kurzeme;Kurzeme;Kuld?gas novads;Kuld?gas pils?ta;Cita pils?ta;LAT;13.03.2018 21:43;13.03.2018 21:41;13-MAR-2018;12:01:32 priekšp.;Cita pils?ta;N?;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;1;0;0;0;0;0;0;0;0;Dr?z?k nepiekr?tu;Dr?z?k piekr?tu;J?;J?, un ir konkr?ti nodomi vai ap?emšan?s to dar?t;Tas dr?z?k nav svar?gi;1.197059696
271;Visi respondenti;V?rietis;36.00;35 - 44;1982;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Profesion?l? vid?j?/ vid?j? speci?l?;Vid?j?, vid?j? profesion?l?;Krievs (-iete);Cits (-ta);Krievu;N?;Priv?taj? sektor?;Str?dnieks, str?d? fizisku darbu;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;R?ga;R?ga;R?ga;R?ga;R?ga;RUS;13.03.2018 21:47;13.03.2018 21:41;13-MAR-2018;12:05:59 priekšp.;R?ga;J?;0;1;0;0;0;0;0;1;1;1;0;1;0;1;0;Nemaz neorient?jos šaj? žanr?;0;0;0;0;0;0;0;1;0;Dr?z?k nepiekr?tu;Gr?ti pateikt;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas nemaz nav svar?gi;0.992818504
272;Visi respondenti;Sieviete;67.00;64 - 75;1951;Atraitnis (-e);1;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Ukrainis (-iete);Cits (-ta);Krievu;J?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;400.00;Eur 351 - Eur 499;R?ga;R?ga;R?ga;R?ga;R?ga;RUS;13.03.2018 21:50;13.03.2018 21:42;13-MAR-2018;12:07:50 priekšp.;R?ga;N?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Gr?ti pateikt;0;0;0;0;0;0;1;0;0;Dr?z?k piekr?tu;Dr?z?k piekr?tu;Da??ji, bet ne piln?b?;Gr?ti pateikt;Tas nemaz nav svar?gi;0.944502424
275;Visi respondenti;Sieviete;54.00;45 - 54;1964;Prec?jies (-usies) vai dz?vo ar partneri;3;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Publiskaj? sektor? (valsts, pašvald?bas);Augst?k? vai vid?j? l?me?a vad?t?js;Str?d?jošie;700.00;Eur 700 un vair?k;Pier?ga;Vidzeme;?ekavas novads;?ekavas pagasts;Lauki;LAT;13.03.2018 21:49;13.03.2018 21:45;13-MAR-2018;12:04:20 priekšp.;Lauku teritorija;J?;1;0;0;0;1;1;1;1;1;1;0;1;1;0;0;?oti labi p?rzinu;0;1;0;0;1;1;0;0;0;Piln?b? piekr?tu;Dr?z?k piekr?tu;J?;N?;Tas ir ?oti svar?gi;0.858680398
276;Visi respondenti;V?rietis;45.00;45 - 54;1973;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Savrupm?ja, priv?tm?ja;Augst?k?;Augst?k?;Baltkrievs (-iete);Cits (-ta);Krievu;J?;Priv?taj? sektor?;Ir savs uz??mums, individu?lais darbs;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;Pier?ga;Vidzeme;M?rupes novads;M?rupes novads;Lauki;RUS;13.03.2018 21:59;13.03.2018 21:45;13-MAR-2018;12:13:36 priekšp.;Lauku teritorija;N?;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;Nemaz neorient?jos šaj? žanr?;0;0;0;0;0;0;0;1;0;Dr?z?k piekr?tu;Dr?z?k nepiekr?tu;N?, viss atkar?gs no iedzimt?m sp?j?m;N?;Tas nemaz nav svar?gi;1.049468109
277;Visi respondenti;Sieviete;45.00;45 - 54;1973;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Augst?k? vai vid?j? l?me?a vad?t?js;Str?d?jošie;935.00;Eur 700 un vair?k;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;13.03.2018 22:07;13.03.2018 21:46;13-MAR-2018;12:21:44 priekšp.;R?ga;N?;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;0;0;0;0;0;0;0;1;Dr?z?k piekr?tu;Dr?z?k piekr?tu;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Gr?ti pateikt;0.785672431
279;Visi respondenti;Sieviete;24.00;18 - 24;1994;Neprec?jies (-usies);5;J?;Dz?vokl? daudzdz?vok?u m?ja;Vid?j?;Vid?j?, vid?j? profesion?l?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Nestr?d?;Skolnieks, students;Nestr?d?jošie;700.00;Eur 700 un vair?k;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;13.03.2018 21:53;13.03.2018 21:46;13-MAR-2018;12:07:01 priekšp.;R?ga;J?;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0;?oti labi p?rzinu;1;1;0;0;0;0;1;0;0;Piln?b? piekr?tu;Dr?z?k piekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;1.216039779
281;Visi respondenti;Sieviete;35.00;35 - 44;1983;Prec?jies (-usies) vai dz?vo ar partneri;5;J?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Ir savs uz??mums, individu?lais darbs;Str?d?jošie;500.00;Eur 500 - Eur 699;Kurzeme;Kurzeme;Ventspils novads;Ug?les pagasts;Lauki;LAT;13.03.2018 21:53;13.03.2018 21:48;13-MAR-2018;12:04:55 priekšp.;Lauku teritorija;J?;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;1;1;1;0;0;0;0;0;0;Dr?z?k piekr?tu;Piln?b? piekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir dr?z?k svar?gi;0.768344964
283;Visi respondenti;Sieviete;51.00;45 - 54;1967;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;Zemgale;Zemgale;J?kabpils;J?kabpils;Cita pils?ta;LAT;13.03.2018 21:51;13.03.2018 21:48;13-MAR-2018;12:03:06 priekšp.;Liel?s pils?tas;J?;1;0;0;0;1;1;1;1;0;0;1;0;0;1;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;0;0;1;0;0;1;1;0;0;Piln?b? piekr?tu;Piln?b? piekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;0.904995051
284;Visi respondenti;V?rietis;58.00;55 - 63;1960;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Profesion?l? vid?j?/ vid?j? speci?l?;Vid?j?, vid?j? profesion?l?;Cits (-ta);Cits (-ta);Krievu;J?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;530.00;Eur 500 - Eur 699;Zemgale;Zemgale;J?kabpils;J?kabpils;Cita pils?ta;RUS;13.03.2018 21:58;13.03.2018 21:48;13-MAR-2018;12:09:32 priekšp.;Liel?s pils?tas;J?;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;Dziesmas atpaz?stu, bet pats nodzied?t nem?c?tu;0;1;0;0;0;0;1;0;0;Gr?ti pateikt;Piln?b? piekr?tu;Da??ji, bet ne piln?b?;N?;Tas dr?z?k nav svar?gi;1.090618726
286;Visi respondenti;Sieviete;41.00;35 - 44;1977;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Publiskaj? sektor? (valsts, pašvald?bas);Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;Vidzeme;Vidzeme;Madonas novads;Madonas pils?ta;Cita pils?ta;LAT;13.03.2018 22:01;13.03.2018 21:50;13-MAR-2018;12:11:15 priekšp.;Cita pils?ta;J?;0;1;0;1;1;0;1;0;0;1;0;0;1;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;1;1;0;0;0;0;1;0;0;Piln?b? piekr?tu;Dr?z?k piekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;1.015957667
289;Visi respondenti;Sieviete;66.00;64 - 75;1952;Atraitnis (-e);1;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Krievs (-iete);Cits (-ta);Krievu;N?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;400.00;Eur 351 - Eur 499;R?ga;R?ga;R?ga;R?ga;R?ga;RUS;13.03.2018 21:56;13.03.2018 21:51;13-MAR-2018;12:05:03 priekšp.;R?ga;N?;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;Nemaz neorient?jos šaj? žanr?;0;0;0;0;0;0;0;1;0;Dr?z?k nepiekr?tu;Piln?b? piekr?tu;N?, viss atkar?gs no iedzimt?m sp?j?m;N?;Tas nemaz nav svar?gi;0.944502424
290;Visi respondenti;Sieviete;30.00;25 - 34;1988;Prec?jies (-usies) vai dz?vo ar partneri;3;J?;Savrupm?ja, priv?tm?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;1000.00;Eur 700 un vair?k;Pier?ga;Vidzeme;Salaspils novads;Salaspils lauku teritorija;Lauki;LAT;13.03.2018 21:57;13.03.2018 21:51;13-MAR-2018;12:05:36 priekšp.;Lauku teritorija;J?;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;1;0;0;0;0;1;1;0;0;Piln?b? piekr?tu;Dr?z?k nepiekr?tu;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;1.117205361
